Slope on 90%,Slope on 70%,Slope on 50%,Slope on 30%,Slope on 10%,Min,Max,Amplitude,Mean,Median,Skewness,Kurtosis,APD90,APD70,APD50,APD70/APD90,APD50/APD90,APD50/APD70,Peak time,Peak to end,N of peaks,diff Min,diff Max,diff Amplitude,diff Mean,diff Median,diff Skewness,diff Kurtosis,diff End Min,diff End Max,diff End Amplitude,diff End Mean,diff End Median,diff End Skewness,diff End Kurtosis,diff N of positive peaks,diff N of negative peaks,diff N of abs peaks,Label
-0.016621646960457412,-0.0005344652645717237,-0.011269271331552725,-0.0008311669124421729,-0.00999992228708062,-3.819434599639879e-06,0.15231405012578358,0.15231786956038323,0.041914266872685575,0.015757998372094066,0.3637202717333081,-1.5597897617987024,150.06,140.22,103.2,0.9344262295081966,0.6877249100359856,0.7359863072314934,1.98,148.08,2,-0.06090105413646791,0.04470074285545217,0.10560179699192007,-0.007177157252563017,-3.385737482452191e-06,-1.080252381542521,-0.07033779410289531,-0.06090105413646791,-0.017264498164527374,0.043636555971940535,-0.04205204510032508,-0.046215215592071354,0.23458941523098467,-1.7059338728683626,2,2,2,G_K
-0.016547892656040595,-0.0005519851523909416,-0.009561393612975798,-0.0008604928846757882,-0.010013293021542479,-3.625661809197196e-06,0.15169936566169911,0.1517029913235083,0.04252921756654046,0.029672409620642888,0.3213242319087446,-1.56563724485225,154.2,144.54,101.52,0.9373540856031128,0.6583657587548638,0.7023661270236613,1.92,152.28,2,-0.05961302402888412,0.042624231393849896,0.10223725542273401,-0.006562206558708194,-3.3674375579363207e-06,-1.1725767350519962,0.2212055298987443,-0.05961302402888412,-0.01605929226212733,0.04355373176675679,-0.04070103547545866,-0.04517717226294534,0.233508461575813,-1.712083424067821,2,2,2,G_K
-0.017086404512006007,-0.0005663587263148529,-0.008458970119156176,-0.0008791244260514499,-0.010011817918561166,-3.7024612430891018e-06,0.1511491251580847,0.1511528276193278,0.04302367366136281,0.042631267438586695,0.2852593290211745,-1.573590090303319,157.26,147.77999999999997,100.44,0.9397176650133535,0.6386875238458604,0.6796589524969551,1.92,155.34,2,-0.058626981669873034,0.04083892156113399,0.09946590323100701,-0.006067750463885781,-3.3430208433516304e-06,-1.2594137316330014,0.49249889838385874,-0.058626981669873034,-0.015152164842191236,0.0434748168276818,-0.039656768530171575,-0.04424060270537352,0.23084021609583377,-1.7171931376223384,2,2,2,G_K
-0.017025950048811737,-0.0005763709273607541,-0.007463770098157791,-0.0009186770002356236,-0.010016965883933556,-3.768970248558372e-06,0.1506390696150404,0.15064283858528896,0.04342628191983231,0.0454280288023796,0.25460961388502845,-1.5826175807856058,159.6,150.29999999999998,99.78,0.9417293233082706,0.6251879699248121,0.6638722554890221,1.92,157.68,2,-0.05785964174176422,0.039370880746792486,0.09723052248855671,-0.005665142205416413,-3.325256596102949e-06,-1.3390707263131587,0.7389949148142332,-0.05785964174176422,-0.014456053786702283,0.04340358795506194,-0.038858429733772355,-0.04362576615291741,0.23005580237363152,-1.7204157143300463,2,2,2,G_K
-0.017826160126128497,-0.002867860985914308,-0.02181404137950048,-0.0008849631404580276,-0.010023595301147513,-3.4975326005663928e-06,0.1507693912584789,0.15077288879107947,0.04261368503819915,0.027187804855084104,0.3045181853444179,-1.6321716822689594,151.92,142.49999999999997,9.47999999999999,0.937993680884676,0.06240126382306471,0.06652631578947363,1.92,150.0,2,-0.06034260587758069,0.04364680327066876,0.10398940914824945,-0.006477739087049662,-3.20455030174371e-06,-1.119851552676885,0.11666303614862539,-0.06034260587758069,-0.017079634600168175,0.043262971277412514,-0.041566500556304016,-0.046243333180913754,0.23727988272291323,-1.709304568231507,2,2,2,G_K
-0.017720623784622556,-0.00207167781399642,-0.02152072595890247,-0.0009461482790525331,-0.010022790251662438,-3.7436809452304815e-06,0.1502064551646118,0.15021019884555703,0.043087879835455166,0.03786053302225759,0.27454528463578054,-1.624299822925625,155.88,146.7,9.36,0.941108545034642,0.06004618937644342,0.0638036809815951,1.92,153.96,2,-0.059082462110677934,0.04148166543260208,0.10056412754328001,-0.006003544289793397,-3.209664826693123e-06,-1.1871787754385152,0.36211182391313734,-0.059082462110677934,-0.015690589406948917,0.04339187270372902,-0.040196322212183645,-0.04491673205836127,0.23449677577098882,-1.7138004863883316,2,2,2,G_K
-0.01762577115206099,-0.0006458619486383129,-0.020683262449772286,-0.0009773797531810434,-0.01002360903699666,-3.551059987690095e-06,0.1496998474118033,0.149703398471791,0.04346678840569028,0.04451192977636201,0.24807642752302303,-1.6227661125900716,158.7,149.64,9.299999999999997,0.9429111531190926,0.05860113421550093,0.062149157979149945,1.92,156.78,2,-0.05816559003339608,0.039748185215226356,0.09791377524862244,-0.005624635719558286,-3.16037496497257e-06,-1.2509601067988867,0.5843659719361383,-0.05816559003339608,-0.014813990296501399,0.04335159973689468,-0.03922997471987464,-0.04415666010947365,0.2334755836043535,-1.717707974794345,2,2,2,G_K
-0.018259107447265752,-0.0006554436164887865,-0.021209235234376816,-0.001006721585261278,-0.010020972195454888,-3.3704533555541963e-06,0.14925745617175457,0.14926082662511012,0.04379475973001136,0.04647385195123413,0.22406396304517798,-1.6230904259884673,160.98,152.04,9.420000000000002,0.9444651509504286,0.05851658591129334,0.06195737963693766,1.8599999999999999,159.11999999999998,2,-0.057405156294555615,0.03825374649082042,0.09565890278537603,-0.005296664395237355,-3.130307922891334e-06,-1.3122863408518586,0.7980695116872831,-0.057405156294555615,-0.014109904682899216,0.0432952516116564,-0.038420238225622606,-0.043420867089213,0.23113718802438057,-1.7215671663379957,2,2,2,G_K
-0.01818370493324657,-0.0006657483773079601,-0.021275718391757542,-0.0010258780449631873,-0.010018431664641735,-3.400649420439411e-06,0.14885701963258052,0.14886042028200097,0.04408385036413619,0.047723047588915365,0.20214557092017663,-1.6242691493003372,162.9,154.07999999999998,9.600000000000009,0.94585635359116,0.05893186003683246,0.062305295950155826,1.8599999999999999,161.04,2,-0.05675091209417017,0.036901127682797324,0.0936520397769675,-0.005007573761112529,-3.0978147611571215e-06,-1.371328533177146,1.0052357952971374,-0.05675091209417017,-0.013516962827368369,0.043233949266801804,-0.03772362069102792,-0.042714716508765786,0.22835019648379531,-1.7248997175568745,2,2,2,G_K
-0.01810891474112775,-0.0006770829946518654,-0.02119624339665194,-0.0010861023626063397,-0.010022702895992676,-3.4534516124334597e-06,0.14848403418894873,0.14848748764056116,0.04434019181134862,0.04866838486366562,0.18212773474749377,-1.6259719140967732,164.57999999999998,155.88,9.959999999999994,0.9471381698869851,0.060517681370761904,0.06389530408006154,1.8599999999999999,162.71999999999997,2,-0.05618074675056187,0.03566812975637024,0.0918488765069321,-0.0047512323138997736,-3.066071702407515e-06,-1.4277337916046506,1.2050007536065896,-0.05618074675056187,-0.0130083527307997,0.043172394019762174,-0.03714766916155508,-0.04240338472890631,0.22937253869597823,-1.7261973269786868,2,2,2,G_K
