PC1,PC2,PC3,PC4,PC5,Label
-100.72984001775605,61.33638015481736,-14.23721462700454,-11.711911827944583,-4.555926257145595,G_K
-103.86987509896137,56.03770846868593,-14.605413288225295,-7.466174222340581,-4.247156581199415,G_K
-106.22417056946325,52.06245833904165,-14.841881100926638,-4.482935196475385,-3.998769670915548,G_K
-108.0680497867049,48.94608259787806,-15.004463885230209,-2.3499961106482368,-3.7993536786497417,G_K
-86.50036957482384,88.773067831287,-5.966613563930276,76.10810447438975,2.5532587461405476,G_K
-89.74579314256918,83.21891861086227,-6.481214654034516,78.79830995970244,2.7179356071221266,G_K
-92.05332205858733,79.27417787241977,-6.805134554995274,80.67791580683972,2.853385819979566,G_K
-93.97258287274124,75.9888087172889,-7.056096108866932,82.05720107032027,2.966625012791004,G_K
-95.59550695786523,73.20805831747356,-7.247892033332117,83.13599333249707,3.0705653542766074,G_K
-97.05526665237215,70.70065696181126,-7.41743555338873,83.89445320470087,3.153997397561126,G_K
-98.35627627456248,68.45489425700045,-7.572518445547297,84.21067561500793,3.2076030573145418,G_K
-117.43704906229762,32.476954638998286,-17.220872040664144,-12.869749680187631,-4.607276565545826,G_K
-118.5568321832972,30.530931524370892,-17.36987363044529,-13.077797874249285,-4.594427561927897,G_K
-119.52737671441591,28.813481564198803,-17.573124490848677,-14.485242254259344,-4.669205269959831,G_K
-122.59459064274354,23.62921683113984,-16.838854515650937,-6.432468367345479,-3.6465701349301316,G_K
-123.25979933925511,22.508817245805112,-16.68101278449522,-4.78490492276243,-3.446807848389182,G_K
-124.00320926377123,21.22986463571158,-16.59942503462738,-3.9613090290356205,-3.323497092592505,G_K
-124.74251113885826,19.945248393082696,-16.532149661715316,-3.5260026631413166,-3.2181347317876523,G_K
-125.50707682229108,18.609432877198063,-16.479196686310775,-3.320768367140891,-3.1399772560061496,G_K
-126.23314379665923,17.336140063203867,-16.41391262311772,-3.2126293064961433,-3.0595909137579556,G_K
-126.96951195268589,16.042467313576793,-16.346967739498446,-3.160235262205042,-2.983145821485191,G_K
-127.66772596758105,14.810970979762722,-16.267844341900545,-3.2024255534800385,-2.9082267261664008,G_K
-128.3456477134034,13.617223703310321,-16.171713347698024,-3.134265558405191,-2.820916095792601,G_K
-128.9855271746753,12.485528146880204,-16.062795493931358,-3.1609761189588723,-2.7310295384884906,G_K
-129.61541149761402,11.37191254022626,-15.93973871275398,-3.132728108206244,-2.6355028867752255,G_K
-130.2398302801089,10.265231118671762,-15.812567799188157,-3.1710270161431375,-2.5483417722882646,G_K
-130.85430761267386,9.17663164333517,-15.671139154402992,-3.154381866698091,-2.4554573108938276,G_K
-131.4261930911994,8.161502895160092,-15.50795514844311,-3.1106986978789206,-2.351729741890532,G_K
-131.96003622989167,7.208644350877191,-15.33285841052048,-3.161593363698352,-2.2495499346913346,G_K
-132.5165367048357,6.2187521023882715,-15.153771606975624,-3.1298315890333606,-2.142138524788174,G_K
-133.04077951723332,5.282651016337968,-14.956602664532292,-3.1267780311571323,-2.0247630408459534,G_K
-133.56547582384067,4.345665108540651,-14.75571570131494,-3.121341737401163,-1.9121049556483867,G_K
-134.06417998672086,3.4539634208796612,-14.53477723564106,-3.0744138586028726,-1.7941632224084076,G_K
-134.54079461108222,2.596988446030938,-14.30122150472159,-3.111016330326642,-1.6789979740178085,G_K
-135.0075096224812,1.758060859743663,-14.052949865971822,-3.0927108001900803,-1.5576030280772148,G_K
-135.48126982274397,0.9084397652560051,-13.791389549951564,-3.002775911416645,-1.4365503266553,G_K
-135.9158184417136,0.12322001811765826,-13.52275451999973,-3.012885505271157,-1.3105942839972955,G_K
-136.3676058186482,-0.6920256275040657,-13.246424973087652,-3.0068025122775506,-1.1889024042156677,G_K
-136.77115462330755,-1.4256063001970036,-12.952780770673373,-3.0396973996521663,-1.067416190393364,G_K
-137.22370764376805,-2.2438965615837843,-12.654982555687521,-3.0348600897711226,-0.9409020855147392,G_K
-137.6334969065569,-2.9876781946154605,-12.34195496546131,-3.0024578924598853,-0.8070986285257157,G_K
-138.0378301058982,-3.724156265257679,-12.027256246574314,-3.03651561290916,-0.6814164811958251,G_K
-138.4321388215777,-4.442047850349129,-11.701845739958493,-3.015391107756401,-0.5516859808415143,G_K
-138.79397149111324,-5.105122321280064,-11.364101304235561,-3.0223058721834195,-0.41739127140560905,G_K
-139.18852212140007,-5.8238827687937365,-11.031997226709498,-3.001492056604878,-0.28690285901823254,G_K
-139.55067397938964,-6.487278977450574,-10.6942063079644,-3.005667672853947,-0.16044925204629404,G_K
-139.91244191204385,-7.150150032302731,-10.357225232510828,-3.0123166279514795,-0.02960195229085173,G_K
-140.24796999900803,-7.765671364241295,-10.017697610788359,-2.9739848075454582,0.09854976695018511,G_K
-140.58324298332226,-8.38048382833536,-9.683008186282127,-2.9353132028221918,0.22523125419948337,G_K
-140.9281963196738,-9.012581805169464,-9.367835420865937,-2.951113559863452,0.342520329928225,G_K
-141.26238466356804,-9.62330838217726,-9.061736962057424,-2.9105553312459422,0.4587719650944513,G_K
-141.56316945877396,-10.175775099913551,-8.767434559485533,-2.8965379933672577,0.5728193683570304,G_K
-141.89564531137108,-10.780413250464935,-8.504232664040405,-2.8532632505795514,0.6759248541809016,G_K
-142.18882403500984,-11.317943931114307,-8.262386766003724,-2.90238702502211,0.7669171916576211,G_K
-142.47625876465958,-11.839728191903511,-8.04293581414457,-2.8279466344162656,0.8612503336767573,G_K
-142.76705997882658,-12.368439872238106,-7.863050216011379,-2.8732302011567565,0.9345277920660607,G_K
-143.04657360510552,-12.874266418592288,-7.703586721738273,-2.8615332620211813,1.0047003224923472,G_K
-143.31507503631232,-13.357389477421632,-7.561639613843993,-2.7930077136616136,1.0733958311962508,G_K
-143.6092204459615,-13.885961013614248,-7.436262606754308,-2.7685186236095185,1.1386033063425423,G_K
-143.8879452907543,-14.38859927161414,-7.2983719977704125,-2.755448071794975,1.2028455127134616,G_K
-144.15224182662152,-14.869175573933076,-7.121558151222183,-2.7554100040467944,1.2720292594491172,G_K
-144.4085488271268,-15.339860384213754,-6.8648616540677345,-2.70780721179618,1.3711318098815535,G_K
-144.6955626146969,-15.872319745912291,-6.515488491564177,-2.7074763167194376,1.4898679633342227,G_K
-144.9452751449305,-16.34990822927134,-6.011461762580992,-2.6880694328683,1.6541082956920332,G_K
-145.22810391933763,-16.897010363292836,-5.362578479438842,-2.7165710658900353,1.8473445656194412,G_K
-145.48106815379768,-17.40383179680272,-4.509789648974981,-2.6626518804788057,2.107088779457934,G_K
-145.74490023207719,-17.94462680462566,-3.5053338202081967,-2.740145150258005,2.3975662678942418,G_K
-145.9948983617985,-18.47056005925282,-2.3226872062353077,-2.7171519384578904,2.74249158919397,G_K
-146.26926995290793,-19.04910878299047,-1.0518810354988446,-2.811072955832458,3.1062420846161474,G_K
-146.543913858726,-19.633788716066107,0.3502475018907463,-2.7909566870990443,3.5160848395162883,G_K
-146.81556403361776,-20.21999744419447,1.8158506771421823,-2.8411903776766234,3.9354791889406036,G_K
-147.08951823011563,-20.814486299209417,3.3404478781792712,-2.8949518697900167,4.370081265748951,G_K
-147.36515380970494,-21.41494525040404,4.906498411820223,-2.9512680320520563,4.814608454836309,G_K
-147.6416888132009,-22.018636106805182,6.496263102047837,-3.0088480842027407,5.263484806443539,G_K
-147.9026916299332,-22.595997784598193,8.094440747720933,-3.0776310484124485,5.7084919225203725,G_K
-148.14854007784905,-23.15138494291767,9.741655897045964,-3.1658907778391465,6.170137407255444,G_K
-148.4161379451327,-23.7401275042063,11.368510935978579,-3.1696586393294055,6.626088552694261,G_K
-148.67135362296278,-24.311585992517582,12.987719967780173,-3.311764116061558,7.073945787549972,G_K
-148.93676163257834,-24.8913335344043,14.54773422770101,-3.3089104209585707,7.505582164499745,G_K
-149.1694537397836,-25.41651758215609,16.125191863805792,-3.336748886572428,7.9457060555419226,G_K
-149.42687827472648,-25.98088825276004,17.632139528478962,-3.3995330447985466,8.358505551394579,G_K
-150.40150433650965,-26.905952710399482,12.446330476891378,11.561422543515173,-4.011719335836515,G_Na
-150.49097071999336,-27.097261587584164,12.6480244791682,10.91309004351324,-4.055129377888665,G_Na
-150.59118095338593,-27.300355657164484,12.816632461991142,10.40534855979225,-4.099554104885797,G_Na
-150.6560775518601,-27.441471443606375,13.029117690429802,9.993090203300856,-4.125078294489535,G_Na
-150.70422844221108,-27.553750855814727,13.23919162465901,9.566738714728762,-4.147513181122703,G_Na
-150.77391278142085,-27.699206375464325,13.425564409207016,9.224756687531723,-4.172809167186855,G_Na
-150.81215911565107,-27.793172165710875,13.647677012320615,8.853175018298971,-4.185680751074537,G_Na
-150.89217193960368,-27.95840096572077,13.831360498146136,8.455479420313404,-4.212668802413747,G_Na
-150.96279511621725,-28.10706255860853,14.040027860951959,8.111925818033468,-4.2289277415832345,G_Na
-150.99016363952109,-28.17956708309846,14.251452993877763,7.796480905806236,-4.238080427330268,G_Na
-151.0608712266313,-28.32863160864664,14.462607454125653,7.45269346160678,-4.252539548965827,G_Na
-151.08897176053966,-28.403491016546855,14.690563647807128,7.136054558553633,-4.254444463356229,G_Na
-151.13340910012496,-28.505960912563328,14.911475067973303,6.8339154286922,-4.259568327286449,G_Na
-151.16733237971746,-28.587245706614343,15.121814323649772,6.590636747448369,-4.26804783593494,G_Na
-151.18519860773486,-28.64284018544699,15.355014263702712,6.329278776445088,-4.263726521030161,G_Na
-151.2356303077828,-28.753563539991507,15.578452066314142,6.095825680550023,-4.263147850606485,G_Na
-151.25371851581596,-28.8099328020979,15.81713249027574,5.8341155296788765,-4.257073194413403,G_Na
-151.27778560078679,-28.87311243235046,16.041074152238128,5.645554302891203,-4.256179822237927,G_Na
-151.28528510394221,-28.908838773069796,16.275437900943796,5.439702380993382,-4.246207627375146,G_Na
-151.33594904266587,-29.02044159799054,16.50452094930363,5.20573816119277,-4.241811885387903,G_Na
-151.34314955515148,-29.054981911300814,16.72879140438083,5.00003286682654,-4.228795838864421,G_Na
-151.3774997357725,-29.137886737970224,16.949687056464757,4.755822093364922,-4.230324972936155,G_Na
-151.41686928556584,-29.22626899689597,17.15597414296761,4.578716874250315,-4.225023521970267,G_Na
-151.4248419454054,-29.263647283749215,17.40176117022941,4.372048427405679,-4.210240281056894,G_Na
-151.4486666593971,-29.325860237405596,17.618053770167652,4.183604415849421,-4.206245263843235,G_Na
-151.44614026626948,-29.34285148302122,17.86147592509219,4.032694972583158,-4.187295641421211,G_Na
-151.48566751714418,-29.43196184497903,18.07286646997854,3.855341304734753,-4.1816264109292325,G_Na
-151.47754608199793,-29.441266182346023,18.314731988140124,3.63804843160162,-4.169907113745038,G_Na
-151.50675573950127,-29.51046037037202,18.52740772834751,3.516261306707876,-4.159462850917596,G_Na
-151.54680488582915,-29.601206533444014,18.750078761740905,3.337981888492164,-4.1471688849363915,G_Na
-151.53814843948723,-29.608433988853417,18.976949882197168,3.1214026473801035,-4.136396869137217,G_Na
-151.54112347638068,-29.631221247654484,19.20088840645935,3.0412576558977613,-4.117449071799932,G_Na
-151.5484286240566,-29.666243882237392,19.42941844599385,2.835428730336655,-4.104103772957611,G_Na
-151.5613204252316,-29.706580267317197,19.632384371064816,2.7032699850232644,-4.096738345056121,G_Na
-151.56874541293536,-29.742019746161663,19.863562532870468,2.4971760082314454,-4.08123877128469,G_Na
-151.5978834200579,-29.81089229709731,20.07330174966694,2.3752807493983616,-4.067319683190557,G_Na
-151.56897438691368,-29.78021618764601,20.316468716673075,2.2693021849594137,-4.048036963720872,G_Na
-151.59778061392157,-29.847876416170028,20.517413714422762,2.1478418605481164,-4.034916641462394,G_Na
-151.59442354896163,-29.86179134018537,20.73829930753088,1.9979547809857634,-4.0166967138694885,G_Na
-151.60765086048528,-29.903271409304818,20.949671406993225,1.8653723955631603,-4.008356483826692,G_Na
-151.63649764064525,-29.971088716283816,21.151784015741246,1.7438609925389132,-3.9952050446514997,G_Na
-151.6073108176722,-29.93922134488664,21.386231128034865,1.6381974160066175,-3.974919266038601,G_Na
-151.6358792169392,-30.006079998414997,21.581454139138167,1.517099761445404,-3.9635845353760035,G_Na
-151.63227150843673,-30.01905352950931,21.793932092689186,1.3672889750265846,-3.9424615297308794,G_Na
-151.63493598301073,-30.039889101017053,22.000914209793503,1.2905025950341984,-3.929251994264205,G_Na
-151.62124694229306,-30.03409962384512,22.224510228672745,1.1961840389769665,-3.907228494330587,G_Na
-151.64985415259218,-30.10105831849562,22.42043704395573,1.075015320308663,-3.89523519804383,G_Na
-151.63028201981518,-30.086622700186084,22.63546750128966,0.9147117035049825,-3.8820195279294696,G_Na
-151.6487284793667,-30.13420201301893,22.836631102725033,0.8488866648044747,-3.8643239001244836,G_Na
-151.62886000497141,-30.118585707523405,23.04335262155988,0.6890268807562717,-3.852246588352393,G_Na
-151.6477603598934,-30.168038981214792,23.257752206306325,0.6225437229778793,-3.8334804388468,G_Na
-151.6762033766393,-30.23425934195878,23.448251183088118,0.5015160647730635,-3.819918906011862,G_Na
-151.64629114400427,-30.199901857993556,23.66475649605227,0.39688853158690096,-3.8036517376828636,G_Na
-151.6643703587538,-30.246294169922006,23.85705648816345,0.33149212145434526,-3.786731038872408,G_Na
-151.63432554157762,-30.21132659566961,24.069010706278675,0.22696263598734143,-3.7688786239184404,G_Na
-151.66338393879752,-30.279986745106868,24.277076180438332,0.10513282674262601,-3.7548611232606466,G_Na
-151.63318028073968,-30.24452884153884,24.48559032477194,0.0008587480833982002,-3.738609418500467,G_Na
-151.65112701703003,-30.29052427928122,24.67543209288831,-0.06420939471303128,-3.725034915356344,G_Na
-151.6368200411605,-30.28251244218434,24.883114005607094,-0.1576430729211924,-3.705937525549227,G_Na
-151.63922534726368,-30.302194509297827,25.081456322044552,-0.23422735677874523,-3.690008481900929,G_Na
-151.63480088608975,-30.312285896701603,25.274677851244228,-0.3826953782493191,-3.6750472864047343,G_Na
-151.63713256886578,-30.331901766712434,25.47290041750001,-0.4590262808252001,-3.662928939023154,G_Na
-151.62298841466486,-30.324407081398512,25.684088649273868,-0.552769789469079,-3.641433499224741,G_Na
-151.6410608014735,-30.370875404739678,25.877063211598973,-0.6180870734024188,-3.6262383893959105,G_Na
-151.64298994700084,-30.38891782283682,26.063792153606027,-0.6939508154180802,-3.613536516531824,G_Na
-151.62825572626417,-30.379175490733626,26.25730077191208,-0.7870705262005805,-3.591494608878849,G_Na
-151.6304717263585,-30.398328290962137,26.45195200914456,-0.863336697173918,-3.577967882846751,G_Na
-151.6260168397709,-30.40833366261116,26.644512118209946,-1.011760847187245,-3.5633143743084994,G_Na
-151.61731607352843,-30.405455206413123,26.8252713653237,-1.0316337790500598,-3.5474548318102688,G_Na
-151.60225987824253,-30.39460361217374,27.012158880284417,-1.1241650107069145,-3.528353619686365,G_Na
-151.6194774821763,-30.437744118946007,27.181158262798014,-1.1883581127792362,-3.5142481720505807,G_Na
-151.58897167866485,-30.401334246226906,27.38286241456697,-1.2921637727421658,-3.500743912958883,G_Na
-151.5906735768134,-30.41946378165189,27.573009498055782,-1.3706691637463178,-3.4843124827613363,G_Na
-151.57442352594632,-30.40320413478474,27.71769886616723,-1.4587703511322916,-3.4705388107682413,G_Na
-151.56638341825132,-30.403929322736722,27.92798182704595,-1.4821901386218264,-3.4545210235825112,G_Na
-151.5345011103018,-30.362304667377845,28.091878060207684,-1.5842264962188461,-3.442833806614407,G_Na
-151.55127404612006,-30.4038884285303,28.249383259361586,-1.6478810489015556,-3.4294422161107967,G_Na
-151.51831587731328,-30.358174731899783,28.383330236312602,-1.748648953551768,-3.4171673785901002,G_Na
-151.5341065867199,-30.396122246022788,28.514290898569758,-1.8110857842884376,-3.404750610833283,G_Na
-151.51697949454038,-30.377653836409838,28.64573102455583,-1.900955638424482,-3.389607062933463,G_Na
-151.50918105778376,-30.378486901791288,28.854503298758797,-1.9215252494625037,-3.3819220132082113,G_Na
811.7888616701023,-149.7312151001672,-9.7297165941628,4.524764906913043,-0.3787131106345994,G_Ca
794.5240739017373,-139.91818267020736,-9.047137367396802,4.209575687814407,-0.34592252091182796,G_Ca
774.911427064814,-128.8962247218336,-8.289438924988692,3.83168587656316,-0.3124978583382217,G_Ca
752.465235486222,-116.11600105751103,-7.3989640747600935,3.413221021490552,-0.2687710502209662,G_Ca
727.1940260184724,-101.79196125035229,-6.404836053838642,2.967049697386601,-0.22246805138247064,G_Ca
698.6316289806988,-85.50923886861987,-5.2690065834565845,2.4267101577509425,-0.16587211871867197,G_Ca
666.3638483696523,-67.18769036742577,-3.9011577327858626,1.84186967154524,-0.13407170870273885,G_Ca
630.3708659825063,-46.68597967455966,-2.4702791219143023,1.1656751114056925,-0.06322503536644479,G_Ca
590.6233558424847,-24.108272621442172,-0.8960832002356026,0.44446935506676916,-0.011159887371905429,G_Ca
547.3534477440987,0.48576222096148297,0.8310011236338803,-0.3440892102058688,-0.0018764068892291484,G_Ca
500.13926222709523,27.33224539764492,2.78637100213026,-1.2054739959344745,-0.09211787072109741,G_Ca
450.0790645864447,55.82560872942695,4.786821954041706,-2.2036640844019537,-0.03183942579917821,G_Ca
397.1006596948793,85.87371704913971,6.79078359497249,-3.15886881503963,0.2649528161108452,G_Ca
342.5454246431342,116.83116635473499,8.913429526823322,-4.212486414784313,0.47262803029716555,G_Ca
285.4994594440085,149.0377273059924,11.126693637410117,-5.310520630135801,0.6372541718226082,G_Ca
217.31128418709733,187.19867235412661,13.72334058857216,-6.796867235333229,0.7456948770180073,G_Ca
670.5853871544385,-69.60524878048534,-4.070573261609077,1.9259673968026976,-0.14266935707024062,G_Ca
652.834522653762,-59.47617948142626,-3.3618026584655243,1.5843017883343733,-0.10232498597250327,G_Ca
634.1578668902533,-48.85468211329583,-2.622248432618731,1.2411137344196537,-0.07098197750385993,G_Ca
614.9536492378509,-37.931089579385926,-1.8610484436247008,0.8877715073335224,-0.044418727256573975,G_Ca
594.8884323832212,-26.514532587151244,-1.0639366008541702,0.5177580577247326,-0.024066782579857744,G_Ca
574.1681272551576,-14.759184402589595,-0.24151927590263503,0.1470146456769927,-0.009472824108416628,G_Ca
552.5972037593996,-2.480920332719371,0.6241157983195068,-0.2511865779180796,-0.017494822368025884,G_Ca
530.4481035349511,10.166566670566912,1.5080585290586719,-0.6806852803233013,0.03563262953783208,G_Ca
507.3484968959509,23.282391410523346,2.4523517262451824,-1.0945841930817044,-0.022642571090250824,G_Ca
483.88291621445705,36.60415075120832,3.445295337340789,-1.5161449090722525,-0.07883692470179911,G_Ca
459.7200507131446,50.329816075746024,4.41000731713561,-1.9554329718357204,-0.056248258692481665,G_Ca
435.36653686982623,64.14488220176555,5.304086969789106,-2.4613153837473924,0.09645174781657907,G_Ca
410.7960629177043,78.10267845162208,6.289751494354252,-2.910234409087914,0.14988159996128392,G_Ca
385.4444856329659,92.51171444270052,7.254410457642439,-3.378908897033754,0.290175856700369,G_Ca
359.8898547076957,106.9360895272287,8.22296929445471,-3.8794733795734238,0.43526657871964464,G_Ca
334.2921271783095,121.48270951150688,9.230153869014456,-4.349195737311852,0.5127989849992757,G_Ca
308.38088702247165,136.14666951803918,10.242234730586754,-4.868646073603202,0.5813653972297601,G_Ca
281.80507232021125,151.09118139481893,11.264533686344292,-5.427861103633444,0.6434618432760931,G_Ca
253.32416587220996,167.05090949054573,12.357598327096902,-5.995260212126748,0.7017467775463998,G_Ca
220.473846652389,185.44974918433354,13.606954224232183,-6.69024761378311,0.7410607891336141,G_Ca
160.01373159576977,218.56173955166068,15.793534262125922,-8.045447352588342,0.7407851803396125,G_Ca
