Name,RandomForestClassifier,GradientBoostingClassifier
258201A01_1,Level_1,Level_1
258201C01_1,Level_1,Normal
258201L01_1,Level_2,Level_1
258301A01_1,Level_1,Normal
258301C01_1,Normal,Normal
258301L01_1,Normal,Normal
258601A01_1,Level_1,Normal
258601C01_1,Normal,Normal
258601L01_1,Normal,Normal
258701A01_1,Level_1,Normal
258701C01_1,Level_1,Level_1
258701L01_1,Level_1,Level_1
258801A01_1,Level_2,Level_1
258801C01_1,Level_2,Level_2
258801L01_1,Level_2,Level_1
258901A01_1,Level_2,Level_2
258901C01_1,Level_2,Level_2
258901L01_1,Level_1,Level_1
259001A01_1,Normal,Level_1
259001C01_1,Normal,Level_1
259001L01_1,Level_2,Normal
259101A01_1,Level_2,Normal
259101C01_1,Normal,Level_1
259101L01_1,Level_1,Normal
259201A01_1,Normal,Level_1
259201C01_1,Normal,Normal
259201L01_1,Level_1,Normal
259301A01_1,Normal,Normal
259301C01_1,Level_2,Level_1
259301L01_1,Normal,Level_2
259401A01_1,Level_1,Level_2
259401C01_1,Level_2,Level_1
259401L01_1,Normal,Normal
259501A01_1,Level_1,Normal
259501C01_1,Normal,Normal
259501L01_1,Normal,Normal
259601A01_1,Normal,Level_1
259601C01_1,Normal,Normal
259601L01_1,Normal,Normal
259801A01_1,Normal,Normal
259801C01_1,Normal,Normal
259801L01_1,Level_1,Normal
259901A01_1,Level_1,Level_1
259901C01_1,Level_1,Normal
259901L01_1,Level_1,Level_1
260201L01_1,Level_1,Normal
260301A01_1,Level_1,Normal
260301C01_1,Level_1,Normal
260301L01_1,Level_1,Normal
260401A01_1,Level_1,Level_1
260401C01_1,Level_1,Normal
260401L01_1,Level_1,Level_2
260501A01_1,Normal,Normal
260501C01_1,Level_1,Level_2
260501L01_1,Level_1,Level_2
260601A01_1,Normal,Normal
260601C01_1,Normal,Normal
260601L01_1,Level_1,Normal
260701A01_1,Normal,Normal
260701C02_1,Level_1,Level_2
260701L01_1,Normal,Level_1
260801A01_1,Normal,Level_1
260801C01_1,Normal,Normal
260801L01_1,Normal,Normal
260901A01_1,Level_2,Level_1
260901C01_1,Normal,Level_2
260901L01_1,Level_1,Level_1
261001A01_1,Normal,Normal
261001C01_1,Level_2,Normal
261001L01_1,Level_2,Level_1
261101A01_1,Level_2,Level_2
261101C01_1,Normal,Normal
261101L01_1,Normal,Level_2
261201A01_1,Normal,Normal
261201C01_1,Normal,Normal
261201L01_1,Level_2,Level_2
261301A01_1,Level_1,Level_2
261301C01_1,Normal,Normal
261301L01_1,Level_1,Normal
261401A01_1,Normal,Normal
261401C01_1,Level_2,Level_1
261401L01_1,Level_1,Level_2
261601A01_1,Normal,Normal
261601C01_1,Level_2,Normal
261601L01_1,Level_2,Level_2
261701A01_1,Level_1,Normal
261701C01_1,Level_1,Normal
261701L01_1,Level_2,Level_1
261801A01_1,Normal,Normal
261801C01_1,Normal,Normal
261801L01_1,Normal,Normal
261901A01_1,Level_1,Level_1
261901C01_1,Normal,Level_1
261901L01_1,Level_1,Level_1
